En01;216104;2;G15a;Profession de la mère;MPCLCA;TECHNICIENNE DE SURFACE;TECHNICIENNE DE SURFACE;RC*;684A - Nettoyeurs;19;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;1;C6a;Profession antérieure;APCLCA;MACON;MACON;RC*;632A - Maçons qualifiés;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;1;C8;Activité principale employeur;AACTIV;MAIRIE;MAIRIE;CCS;8411Z - Administration publique générale;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;CM1;CM1;CCS;79991;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;2;C6a;Profession antérieure;APCLCA;TECHNICIENNE DE SURFACE;TECHNICIENNE DE SURFACE;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;2;C8;Activité principale employeur;AACTIV;MAIRIE;MAIRIE;CCS;8411Z - Administration publique générale;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;2;D20;Diplôme le plus élevé;DIPINTA;CERTIFICAT;CERTIFICAT;NULL;7510100a;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;2;D21;Spécialité du diplôme;DIPSCDA;FORMATION GENERALE;FORMATION GENERALE;-;0011;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;2;D38;Année d'études atteinte et diplôme préparé;NIVINTA;4EME;4EME;CCS;79993;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;2;G15a;Profession de la mère;MPCLCA;ARTISANE;ARTISANE;RC*;214F;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;2;G5a;Profession du père;FPCLCA;ELEVEUR;ELEVEUR;RC*;111E;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;3;D20;Diplôme le plus élevé;DIPINTA;CFG;CFG;NULL;7510100a;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;3;D21;Spécialité du diplôme;DIPSCDA;FORMATION GENERALE;FORMATION GENERALE;-;0011;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;3;D38;Année d'études atteinte et diplôme préparé;NIVINTA;2EME ANNEE CAP;2EME ANNEE CAP;RCS;50000;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;3;G5a;Profession du père;FPCLCA;AGENT COMMUNAL;AGENT COMMUNAL;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;4;BA10a;Profession principale;PCLCA;AGRICULTEUR;AGRICULTEUR;RC*;111F;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;4;BA23a;Activité économique de l'entreprise / patente;ACTIV;AGRICULTURE;AGRICULTURE;CCS;0111Z - Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;4;D20;Diplôme le plus élevé;DIPINTA;DNB;DNB;NULL;6400100a;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;4;D21;Spécialité du diplôme;DIPSCDA;FORMATION GENERALE;FORMATION GENERALE;-;0011;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216112;4;D38;Année d'études atteinte et diplôme préparé;NIVINTA;2EME ANNEE BACPRO;2EME ANNEE BACPRO;RCS;58884;11;Gestionnaire 01;03;0;Enquêteur 01
En01;216114;1;BA10a;Profession principale;PCLCA;AGRICULTEUR;AGRICULTEUR;RC*;111F;91;Gestionnaire 01;03;0;Enquêteur 01
En01;216114;1;BA23a;Activité économique de l'entreprise / patente;ACTIV;AGRICULTURE;AGRICULTURE;CCS;0111Z - Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;91;Gestionnaire 01;03;0;Enquêteur 01
En01;216114;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;3EME;3EME;CCS;64000;91;Gestionnaire 01;03;0;Enquêteur 01
En01;216114;2;C6a;Profession antérieure;APCLCA;ARTISANE;ARTISANE;RC*;214F;91;Gestionnaire 01;03;0;Enquêteur 01
En01;216114;2;C8;Activité principale employeur;AACTIV;ARTISANAT;ARTISANAT;CCS;9411Z - Activités des organisations patronales et consulaires;91;Gestionnaire 01;03;0;Enquêteur 01
En01;216114;2;D38;Année d'études atteinte et diplôme préparé;NIVINTA;3EME;3EME;CCS;64000;91;Gestionnaire 01;03;0;Enquêteur 01
En01;216114;2;G5a;Profession du père;FPCLCA;BRICOLEUR;BRICOLEUR;RC*;223B;91;Gestionnaire 01;03;0;Enquêteur 01
En01;216119;1;BA10a;Profession principale;PCLCA;PATISSIERE;PATISSIERE;RC*;636C - Boulangers, pâtissiers (sauf activité industrielle);15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;1;BA22b;Nom de l'employeur;NOMSOC;NATACHA;PATISSERIE;-;-;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;1;BA23a;Activité économique de l'entreprise / patente;ACTIV;PATISSERIE;PATISSERIE;CCS;1071D - Pâtisserie;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;1;C6a;Profession antérieure;APCLCA;PATISSIERE;PATISSIERE;RC*;636C - Boulangers, pâtissiers (sauf activité industrielle);15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;1;C8;Activité principale employeur;AACTIV;HOTELLERIE;HOTELLERIE;CCS;5510Z - Hôtels et hébergement similaire;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;5EME;5EME;CCS;79992;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;1;G5a;Profession du père;FPCLCA;OUVRIER AGRICOLE;OUVRIER AGRICOLE;RC*;691E - Ouvriers agricoles sans spécialisation particulière;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;BA10a;Profession principale;PCLCA;CHAUFFEUR;CHAUFFEUR;RC*;641A - Conducteurs routiers et grands routiers;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;BA22b;Nom de l'employeur;NOMSOC;COMMUNE DE RURUTU;MAIRIE;-;-;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;BA29;Nom de l'employeur;EMPL;COMMUNE DE RURUTU;-;-;-;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;BA32a;Activité économique de l'établissement employeur;ACTIVA;MAIRIE;MAIRIE;CCS;8411Z - Administration publique générale;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;BB3;Echelle / échelon / niveau / indice;GRADEC;CHAUFFEUR;-;-;-;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;D20;Diplôme le plus élevé;DIPINTA;BAC PRO;BAC PRO;NULL;4000233s;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;D21;Spécialité du diplôme;DIPSCDA;BATIMENT FINITIONS;BATIMENT FINITIONS;-;0732;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;D60;Spécialité formation non-formelle;ETMSPA;REMISE A NIVEAU EN FORMATION GÉNÉRALE;-;-;-;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;E12a;Activité principale année précédente;EACTIV;MAIRIE;NULL;NULL;NULL;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;G15a;Profession de la mère;MPCLCA;PATISSIERE;PATISSIERE;RC*;636C - Boulangers, pâtissiers (sauf activité industrielle);15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;2;G5a;Profession du père;FPCLCA;CHAUFFEUR;CHAUFFEUR;RC*;641A - Conducteurs routiers et grands routiers;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;3;BA10a;Profession principale;PCLCA;PATISSIERE;PATISSIERE;RC*;636C - Boulangers, pâtissiers (sauf activité industrielle);15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;3;BA23a;Activité économique de l'entreprise / patente;ACTIV;PATISSERIE;PATISSERIE;CCS;1071D - Pâtisserie;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;3;D20;Diplôme le plus élevé;DIPINTA;BACCALAUREAT;BACCALAUREAT;NULL;4000221s;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216119;3;D21;Spécialité du diplôme;DIPSCDA;HOTELLERIE CUISINE;HOTELLERIE CUISINE;-;1013;15;Gestionnaire 01;02;0;Enquêteur 01
En01;216120;1;BA10a;Profession principale;PCLCA;FEMME DE SERVICE;FEMME DE SERVICE;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);7;Gestionnaire 01;02;0;Enquêteur 01
En01;216120;1;BA22b;Nom de l'employeur;NOMSOC;COMMUNE;MAIRIE;-;-;7;Gestionnaire 01;02;0;Enquêteur 01
En01;216120;1;BA29;Nom de l'employeur;EMPL;COMMUNE;-;-;-;7;Gestionnaire 01;02;0;Enquêteur 01
En01;216120;1;BA32a;Activité économique de l'établissement employeur;ACTIVA;MAIRIE;MAIRIE;CCS;8411Z - Administration publique générale;7;Gestionnaire 01;02;0;Enquêteur 01
En01;216120;1;BB3;Echelle / échelon / niveau / indice;GRADEC;ECHELON 5;-;-;-;7;Gestionnaire 01;02;0;Enquêteur 01
En01;216120;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;4EME;4EME;CCS;79993;7;Gestionnaire 01;02;0;Enquêteur 01
En01;216120;1;E12a;Activité principale année précédente;EACTIV;MAIRIE;NULL;NULL;NULL;7;Gestionnaire 01;02;0;Enquêteur 01
En01;216120;1;G5a;Profession du père;FPCLCA;AGENT ENTRETIEN;AGENT ENTRETIEN;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);7;Gestionnaire 01;02;0;Enquêteur 01
En01;216121;1;C6a;Profession antérieure;APCLCA;TECHNICIENNE DE SURFACE;TECHNICIENNE DE SURFACE;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);47;Gestionnaire 01;02;0;Enquêteur 01
En01;216121;1;C8;Activité principale employeur;AACTIV;SANTE;SANTE;CCS;8610Z - Activités hospitalières;47;Gestionnaire 01;02;0;Enquêteur 01
En01;216121;1;D20;Diplôme le plus élevé;DIPINTA;DNB;DNB;NULL;6400100a;47;Gestionnaire 01;02;0;Enquêteur 01
En01;216121;1;D21;Spécialité du diplôme;DIPSCDA;FORMATION GENERALE;FORMATION GENERALE;-;0011;47;Gestionnaire 01;02;0;Enquêteur 01
En01;216121;2;BA10a;Profession principale;PCLCA;AGRICULTEUR;AGRICULTEUR;RC*;111F;47;Gestionnaire 01;02;0;Enquêteur 01
En01;216121;2;BA23a;Activité économique de l'entreprise / patente;ACTIV;AGRICULTURE;AGRICULTURE;CCS;0111Z - Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;47;Gestionnaire 01;02;0;Enquêteur 01
En01;216121;2;BA51;Profession dans autre activité;SPCLCA;VENDEUR;VENDEUR;RC*;222A;47;Gestionnaire 01;02;0;Enquêteur 01
En01;216121;2;D38;Année d'études atteinte et diplôme préparé;NIVINTA;4EME;4EME;CCS;79993;47;Gestionnaire 01;02;0;Enquêteur 01
En01;216121;2;G5a;Profession du père;FPCLCA;MACON;MACON;RC*;632A - Maçons qualifiés;47;Gestionnaire 01;02;0;Enquêteur 01
En01;216123;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;CM2;CM2;CCS;79991;23;Gestionnaire 01;02;0;Enquêteur 01
En01;216123;1;G5a;Profession du père;FPCLCA;AGRICULTEUR;AGRICULTEUR;RC*;111F;23;Gestionnaire 01;02;0;Enquêteur 01
En02;216124;1;C6a;Profession antérieure;APCLCA;MACONNERIE;MACONNERIE;RC*;632A - Maçons qualifiés;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;1;C8;Activité principale employeur;AACTIV;MAIRIE;MAIRIE;CCS;8411Z - Administration publique générale;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;6EME GENERALE;6EME GENERALE;CCS;79992;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;1;G15a;Profession de la mère;MPCLCA;ARTISANE;ARTISANE;RC*;214F;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;1;G5a;Profession du père;FPCLCA;AGRICULTURE;AGRICULTURE;RC*;111F;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;2;C6a;Profession antérieure;APCLCA;AGENT D'ENTRETIEN;AGENT D'ENTRETIEN;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;2;C8;Activité principale employeur;AACTIV;FEMME DE MENAGE;FEMME DE MENAGE;CCS;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;2;D20;Diplôme le plus élevé;DIPINTA;CERTIFICAT D'ETUDE;CERTIFICAT D'ETUDE;NULL;7400100a;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;2;D21;Spécialité du diplôme;DIPSCDA;FORMATION GENERALE;FORMATION GENERALE;-;0011;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;2;G15a;Profession de la mère;MPCLCA;AGENT D'ENTRETIEN;AGENT D'ENTRETIEN;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);31;Gestionnaire 01;02;0;Enquêteur 02
En02;216124;2;G5a;Profession du père;FPCLCA;CONSTRUCTION BATIMENT;CONSTRUCTION BATIMENT;RC*;211A;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;1;BA10a;Profession principale;PCLCA;ARTISANE;ARTISANE;ER3;NULL;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;1;BA23a;Activité économique de l'entreprise / patente;ACTIV;COUTURE;COUTURE;CCS;1413Z - Fabrication de vêtements de dessus;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;CM2;CM2;CCS;79991;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;1;G15a;Profession de la mère;MPCLCA;ARTISANE;ARTISANE;RC*;214F;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;1;G5a;Profession du père;FPCLCA;AGENT ENTRETIEN;AGENT ENTRETIEN;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;BA10a;Profession principale;PCLCA;MAGASINIER;MAGASINIER;RC*;653A - Magasiniers qualifiés;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;BA22b;Nom de l'employeur;NOMSOC;MAGASIN SINN;COMMERCE;-;-;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;BA29;Nom de l'employeur;EMPL;MAGASIN SINN;-;-;-;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;BA32a;Activité économique de l'établissement employeur;ACTIVA;COMMERCE;COMMERCE;CCS;4711F - Hypermarchés;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;BE6a;Activité économique établissement;CACTIV;COMMERCE;COMMERCE;CCS;4711F;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;D20;Diplôme le plus élevé;DIPINTA;BAC TECHNOLOGIE;BAC TECHNOLOGIE;NULL;4300231s;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;D21;Spécialité du diplôme;DIPSCDA;GENIE CIVIL;GENIE CIVIL;-;0732;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;E12a;Activité principale année précédente;EACTIV;COMMERCE;NULL;NULL;NULL;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;G15a;Profession de la mère;MPCLCA;COUTURE;COUTURE;RC*;635A - Tailleurs et couturières qualifiés, ouvriers qualifiés du travail des étoffes (sauf fabrication de vêtements), ouvriers qualifiés de type artisanal du travail du cuir;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216125;2;G5a;Profession du père;FPCLCA;CHAUFFEUR;CHAUFFEUR;RC*;641A - Conducteurs routiers et grands routiers;87;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;1;BA10a;Profession principale;PCLCA;ARTISANE;ARTISANE;RC*;214F;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;1;BA23a;Activité économique de l'entreprise / patente;ACTIV;ARTISANAT;ARTISANAT;CCS;9411Z - Activités des organisations patronales et consulaires;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;1;C6a;Profession antérieure;APCLCA;AGRICULTURE;AGRICULTURE;RC*;691E - Ouvriers agricoles sans spécialisation particulière;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;CM2;CM2;CCS;79991;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;1;E12a;Activité principale année précédente;EACTIV;ARTISANAT;ARTISANAT;CCS;9411Z - Activités des organisations patronales et consulaires;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;1;E9a;Profession année dernière;EPCLCA;ARTISANE;ARTISANE;RC*;227D;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;1;G15a;Profession de la mère;MPCLCA;ARTISANE;ARTISANE;RC*;214F;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;1;G5a;Profession du père;FPCLCA;AGRICULTEUR;AGRICULTEUR;RC*;111F;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;2;BA10a;Profession principale;PCLCA;AGRICULTEUR;AGRICULTEUR;RC*;111F;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;2;BA23a;Activité économique de l'entreprise / patente;ACTIV;AGRICULTURE;AGRICULTURE;CCS;0111Z - Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;2;D38;Année d'études atteinte et diplôme préparé;NIVINTA;CM2;CM2;CCS;79991;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;2;G15a;Profession de la mère;MPCLCA;ARTISANE;ARTISANE;RC*;214F;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216127;2;G5a;Profession du père;FPCLCA;AGRICULTEUR;AGRICULTEUR;RC*;111F;19;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;1;BA10a;Profession principale;PCLCA;VENDEUR;VENDEUR;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;1;BA23a;Activité économique de l'entreprise / patente;ACTIV;COMMERCE;COMMERCE;ER3;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;1;D20;Diplôme le plus élevé;DIPINTA;2EME ANNEE BEP;2EME ANNEE BEP;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;1;D21;Spécialité du diplôme;DIPSCDA;SANITAIRE ET SOCIAL;SANITAIRE ET SOCIAL;-;0910;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;1;D23;Diplôme le plus élevé (2e essai);DIPINTB;BEP;BEP;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;1;D24;Spécialité du diplôme (2e essai);DIPSCDB;SANITAIRE ET SOCIAL;SANITAIRE ET SOCIAL;-;0910;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;1;G15a;Profession de la mère;MPCLCA;VENDEUR;VENDEUR;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;1;G5a;Profession du père;FPCLCA;AGENT COMMUNAL;AGENT COMMUNAL;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;BA10a;Profession principale;PCLCA;BAGAGISTE;BAGAGISTE;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;BA22b;Nom de l'employeur;NOMSOC;AIR TAHITI;TRANSPORT AERIEN;-;-;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;BA29;Nom de l'employeur;EMPL;AIR TAHITI;-;-;-;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;BA32a;Activité économique de l'établissement employeur;ACTIVA;TRANSPORT AERIEN;TRANSPORT AERIEN;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;BA51;Profession dans autre activité;SPCLCA;PECHEUR;PECHEUR;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;D20;Diplôme le plus élevé;DIPINTA;BAC TECHNOLOGIE;BAC TECHNOLOGIE;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;D21;Spécialité du diplôme;DIPSCDA;STI2D ENERGIE ENVIRONNEMENT;STI2D ENERGIE ENVIRONNEMENT;-;0710;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;D23;Diplôme le plus élevé (2e essai);DIPINTB;STI2D;STI2D;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;D24;Spécialité du diplôme (2e essai);DIPSCDB;STI2D ENERGIE ENVIRONNEMENT;STI2D ENERGIE ENVIRONNEMENT;-;0710;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;E12a;Activité principale année précédente;EACTIV;TRANSPORT AERIEN;NULL;NULL;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;G15a;Profession de la mère;MPCLCA;AGRICULTEUR;AGRICULTEUR;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;2;G5a;Profession du père;FPCLCA;PECHEUR;PECHEUR;ER1;NULL;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;3;D09;Année d'études en cours et diplôme préparé;FORNIVA;3EME;3EME;CCS;64000;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216129;3;D12;Spécialité suivie;FORSCD;FORMATION GENERALE;0011;-;-;31;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;1;BA10a;Profession principale;PCLCA;ARTISANE;ARTISANE;RC*;214F;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;1;BA22b;Nom de l'employeur;NOMSOC;ASSOCIATION OMIRI;ARTISANAT;-;-;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;1;BA29;Nom de l'employeur;EMPL;ASSOCIATION OMIRI;-;-;-;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;1;BA32a;Activité économique de l'établissement employeur;ACTIVA;ARTISANAT;ARTISANAT;CCS;9411Z - Activités des organisations patronales et consulaires;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;BEP SANITAIRE ET SOCIAL;BEP SANITAIRE ET SOCIAL;CCS;51000;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;1;E12a;Activité principale année précédente;EACTIV;ARTISANAT;ARTISANAT;CCS;9411Z - Activités des organisations patronales et consulaires;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;1;E9a;Profession année dernière;EPCLCA;ARTISANE;ARTISANE;RC*;227D;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;2;BA10a;Profession principale;PCLCA;ARTISANE;ARTISANE;RC*;214F;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;2;BA23a;Activité économique de l'entreprise / patente;ACTIV;ARTISANAT;ARTISANAT;CCS;9411Z - Activités des organisations patronales et consulaires;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;2;C6a;Profession antérieure;APCLCA;TECHNICIENNE DE SURFACE;TECHNICIENNE DE SURFACE;RC*;684A - Nettoyeurs;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;2;D20;Diplôme le plus élevé;DIPINTA;CERTIFICAT D'ETUDE;CERTIFICAT D'ETUDE;NULL;7400100a;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;2;D21;Spécialité du diplôme;DIPSCDA;FORMATION GENERALE;FORMATION GENERALE;-;0011;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;2;D38;Année d'études atteinte et diplôme préparé;NIVINTA;3EME GENERALE;3EME GENERALE;CCS;64000;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;2;E12a;Activité principale année précédente;EACTIV;ARTISANAT;ARTISANAT;CCS;9411Z - Activités des organisations patronales et consulaires;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;2;E9a;Profession année dernière;EPCLCA;ARTISANE;ARTISANE;RC*;227D;47;Gestionnaire 01;02;0;Enquêteur 02
En02;216130;2;G15a;Profession de la mère;MPCLCA;ARTISANE;ARTISANE;RC*;214F;47;Gestionnaire 01;02;0;Enquêteur 02
